System;Question 1;Question 2;Question 3;Question 4;Question 5;Question 6;Question 7;Question 8;Question 9;Question 10
GOIKO FINDER (A);5;2;4;1;5;1;4;2;4;1
GOIKO FINDER (A);5;1;4;1;5;1;4;2;4;1
GOIKO FINDER (A);4;2;5;1;4;1;5;1;5;1
GOIKO FINDER (A);5;1;5;1;5;1;5;3;5;1
GOIKO FINDER (A);4;2;4;1;4;1;4;1;3;1
AL BURGUERS (B);4;2;5;1;4;1;4;1;4;1
AL BURGUERS (B);3;1;5;2;4;1;4;1;5;1
AL BURGUERS (B);4;1;4;1;4;1;4;1;2;1
AL BURGUERS (B);4;1;4;1;4;1;4;1;4;1
AL BURGUERS (B);4;1;5;1;4;1;4;1;3;1
